"concept","code","name","level","parent"
"coicop18","CP02200","Alcohol production services (S)",5,"CP0220"
"coicop18","CP023","Tobacco",3,"CP02"
"coicop18","CP0230","Tobacco (ND)",4,"CP023"
"coicop18","CP02301","Cigarettes (ND)",5,"CP0230"
"coicop18","CP02302","Cigars (ND)",5,"CP0230"
"coicop18","CP02309","Other tobacco products (ND)",5,"CP0230"
"coicop18","CP03","Clothing and footwear",2,"TOTAL"
"coicop18","CP031","Clothing",3,"CP03"
"coicop18","CP0311","Clothing materials (SD)",4,"CP031"
"coicop18","CP03110","Clothing materials (SD)",5,"CP0311"
"coicop18","CP0312","Garments (SD)",4,"CP031"
"coicop18","CP03121","Garments for men or boys (SD)",5,"CP0312"
"coicop18","CP03122","Garments for women or girls (SD)",5,"CP0312"
"coicop18","CP03123","Garments for infants (under 2 years of age) (SD)",5,"CP0312"
"coicop18","CP03124","School uniforms (SD)",5,"CP0312"
"coicop18","CP0313","Other articles of clothing and clothing accessories (SD)",4,"CP031"
"coicop18","CP03131","Other articles of clothing (SD)",5,"CP0313"
"coicop18","CP03132","Clothing accessories (SD)",5,"CP0313"
"coicop18","CP0314","Cleaning, repair, tailoring and hire of clothing (S)",4,"CP031"
"coicop18","CP03141","Cleaning of clothing (S)",5,"CP0314"
"coicop18","CP03142","Repair, tailoring and hire of clothing (S)",5,"CP0314"
"coicop18","CP032","Footwear",3,"CP03"
"coicop18","CP0321","Shoes and other footwear (SD)",4,"CP032"
"coicop18","CP03211","Footwear for men (SD)",5,"CP0321"
"coicop18","CP03212","Footwear for women (SD)",5,"CP0321"
"coicop18","CP03213","Footwear for infants and children (SD)",5,"CP0321"
"coicop18","CP0322","Cleaning, repair and hire of footwear (S)",4,"CP032"
"coicop18","CP03220","Cleaning, repair and hire of footwear (S)",5,"CP0322"
"coicop18","CP04","Housing, water, electricity, gas and other fuels",2,"TOTAL"
"coicop18","CP041","Actual rental payments made for housing",3,"CP04"
"coicop18","CP0411","Actual rental payments made by tenants for main residence (S)",4,"CP041"
"coicop18","CP04110","Actual rental payments made by tenants for main residence (S)",5,"CP0411"
"coicop18","CP0412","Other actual rental payments (S)",4,"CP041"
"coicop18","CP04121","Actual rental payments made by tenants for secondary residences (S)",5,"CP0412"
"coicop18","CP04122","Garage rental payments and other rental payments made by tenants (S)",5,"CP0412"
"coicop18","CP043","Maintenance, repair and security of the dwelling",3,"CP04"
